Article,Vedette,Type vedette,Candidat,INSEE,Définition,Problème
DT42-10492,"Rocher-Saint-Martin,",rocher,entre Bussy et Albieux,non,"
rocher, commune de Bussy-Albieux. Au nord du plateau de l'Aiguille, entre Bussy et Albieux.",
DT42-09823,"Précieux,",écart,entre Bussy et Le Mas,non,"
écart, commune de Bussy-Albieux, entre Bussy et Le Mas.",
DT42-11136,"Sanctus Bonitus de Cilogneu,",lieu détruit,entre Cervières et Champoly ?,42034/42047,"
lieu détruit, entre Cervières et Champoly ?
      ",
DT42-07431,"Medio Loco (Locus de),",lieu détruit,entre Champdieu et Montbrison,42046/42147,"
lieu détruit, entre Champdieu et Montbrison.",
DT42-05277,Garenbosc.,territoire,entre Châtelus et Marcenod,42055/42133,"Nom disparu d'un ruisseau et d'un territoire 
entre Châtelus et Marcenod.",
DT42-02543,"Chastellars (Les),",lieu détruit,entre Chazal et Soleymieux,non,"
lieu détruit, entre Chazal et Soleymieux, commune de Saint-Bonnet-le-Courreau.",
DT42-01682,"Bruliolle (La),",lieu détruit,entre Chazelles-sur-Lyon et Viricelles,42059/42335,"
lieu détruit, entre Chazelles-sur-Lyon et Viricelles.",
DT42-02540,"Chastellard (Le),",lieu détruit,entre Cimens et Villedieu,non,"
lieu détruit, entre Cimens et Villedieu, commune de Saint-Étienne-le-Molard.",
DT42-04876,"Font Saint Martin,",région,entre Essumain et Trémas,non,"nom disparu entre Essumain et Trémas, commune de Saint-Victor-sur-Loire.",
DT42-08963,Petra Conptent.,pierre,entre Guizey et l'Ondaine,non,"Nom disparu d'une pierre servant de limite, commune de Planfoy ou de La Ricamarie, entre Guizey et l'Ondaine.",
DT42-11165,Saraillies (Ruisseau des).,ruisseau,entre L'Hôpital-de-Malleval et Saint-Haon-le-Châtel,/42232,Nom disparu d'un ruisseau qui coule entre L'Hôpital-de-Malleval et Saint-Haon-le-Châtel.,
DT42-02644,"Châtelard (Le Crêt),",sommet de montagne,entre La Chapelle et le Pin-Bouchain,non,"
sommet de montagne, entre La Chapelle et le Pin-Bouchain, commune de Machézal.",
DT42-06257,"Ile-Bertier,",vaste territoire,entre la Loire et le Rhins,non,"
vaste territoire placé entre la Loire et le Rhins, commune de Roanne.",
DT42-03760,"Croix de Pisse-Bœufs,",lieu détruit,entre La Ménardie et Manisolle,non,"
lieu détruit 
entre La Ménardie et Manisolle, commune de Saint-Romain-d'Urfé.",
DT42-09296,"Plagnolles,",lieu détruit,entre La Prenarde et Chantereine,non,"
lieu détruit, commune de Saint-Jean-Soleymieux, entre La Prenarde et Chantereine.",
DT42-03831,"Croix-Sainte-Agathe,",lieu détruit,entre la Ribaudy et Chavanay,non,"
lieu détruit, entre la Ribaudy et Chavanay, commune de Chavanay.",
DT42-09229,"Pisol,",lieu détruit,entre La Rochette et Le Lac,non,"
lieu détruit, commune de La Tourette, entre La Rochette et Le Lac.",
DT42-04604,"Fenier,",lieu détruit,entre Le Marais et La Motte,non,"
lieu détruit, commune de Feurs, entre Le Marais et La Motte.",
DT42-07251,"Marthorey (Le),",lieu détruit,entre Le Mont et La Grange-de-l'Œuvre,non,"
lieu détruit, commune de Saint-Étienne, entre Le Mont et La Grange-de-l'Œuvre, c'est-à-dire sur l'emplacement de la gare actuelle de Bellevue.",
DT42-04178,"Écharavay,",territoire,entre Le Mont et Landuzière,non,"nom disparu d'un territoire situé entre Le Mont et Landuzière, commune de Saint-Victor-sur-Loire.",
DT42-03493,"Côte-Chaude,",lieu détruit,entre le Mont et Montferré,non,"
lieu détruit, commune de Saint-Étienne, entre le Mont et Montferré.",
DT42-07289,"Martorey (Le),",lieu détruit,entre Le Soleil et Molineaux,non,"
lieu détruit, commune de La Fouillouse, entre Le Soleil et Molineaux.",
DT42-02660,"Châtellart (Le),",lieu détruit,entre les hameaux de Vallas et de Bout,non,"
lieu détruit, commune de Saint-Priest-la-Prugne, entre les hameaux de Vallas et de Bout et à l'ouest de celui de Vial, au lieu dit actuellement le Château-du-Cocu.",
DT42-00101,"Ambroysel,",lieu détruit,entre Lucé et Goelle,non,"
lieu détruit, commune de Cremeaux, entre Lucé et Goelle.",
DT42-07001,"Maladière (La),",lieu détruit,entre Margerie et Le Pont,non,"
lieu détruit, commune de Margerie-Chantagret, entre Margerie et Le Pont.",
DT42-09707,"Pothémieu,",lieu détruit,entre Montbrison et Moingt,42147/42147,"
lieu détruit, entre Montbrison et Moingt.",
DT42-02654,"Châtellar (Le),",lieu détruit,entre Montmezat et Saint-Barthélemy-Lestra,non,"
lieu détruit, commune de Saint-Barthélemy-Lestra ; entre Montmezat et Saint-Barthélemy-Lestra.",
DT42-02476,"Chartra (La),",lieu détruit,entre Montverdun et Meximieux,non,"
lieu détruit, entre Montverdun et Meximieux, commune de Montverdun.",
DT42-07695,"Monsaude,",lieu détruit,entre Neulise et Saint-Marcel-de-Félines,42156/42254,"
lieu détruit, près de Champagny, entre Neulise et Saint-Marcel-de-Félines.",
DT42-07542,"Mi-Carême,",lieu détruit,entre Nizy et Vinoyes,non,"
lieu détruit, commune de Saint-Héand, entre Nizy et Vinoyes.",
DT42-10239,"Richanieu,",lieu détruit,entre Patroa et le Jardin-des-Plantes,non,"
lieu détruit, commune de Saint-Étienne, entre Patroa et le Jardin-des-Plantes.",
DT42-07002,"Maladière (La),",lieu détruit,entre Pélussin et Virieux,non,"
lieu détruit, commune de Pélussin, entre Pélussin et Virieux.",
DT42-11767,"Trassy,",lieu détruit,entre Rilly et Fay,non,"
lieu détruit, commune de Cordelle, entre Rilly et Fay.",
DT42-12387,"Vies Fourches (Les),",lieu détruit,entre Saint-André-le-Puy et Montrond,42200/42149,"
lieu détruit, entre Saint-André-le-Puy et Montrond.",
DT42-06857,"Luminet,",lieu détruit,entre Saint-Forgeux-l'Espinasse et Ambierle,42220/42003,"
lieu détruit, entre Saint-Forgeux-l'Espinasse et Ambierle.",
DT42-07449,"Mengaoz (Pierres),",lieu détruit,entre Saint-Just-en-Bas et Palogneux,42247/42164,"
lieu détruit, entre Saint-Just-en-Bas et Palogneux.",
DT42-07180,"Marczalet,",lieu détruit,entre Saint-Paul et Bissieux,non,"
lieu détruit, commune de Saint-Paul-de-Vézelin, entre Saint-Paul et Bissieux.",
DT42-02479,"Chartra (La),",lieu détruit,entre Saint-Romain-le-Puy et Saint-Georges-Haute-Ville,42285/42228,"
lieu détruit, entre Saint-Romain-le-Puy et Saint-Georges-Haute-Ville.",
DT42-07299,"Martourey (Le),",lieu détruit,entre Savigneux et La Terrassière,non,"
lieu détruit, commune de Chevrières, signalé au 
xviii
e siècle par Cassini entre Savigneux et La Terrassière.",
DT42-08594,"Pacarieu,",maison isolée,est de Grammond,non,"
maison isolée, signalée par Cassini à l'est de Grammond, sur la commune de Saint-Christô-en-Jarez ?
      ",
DT42-07795,"Montchalus (Crest de),",lieu détruit,est de La Marandinière,non,"
lieu détruit, commune de Saint-Étienne, à l'est de La Marandinière, près d'un écart appelé Brutéon.",
DT42-06629,"Lay,",ancien lieu-dit,est de Rive-de-Gier,42186,"
ancien lieu-dit, aujourd'hui dans les faubourgs à l'est de Rive-de-Gier.",
DT42-07007,"Maladière (La),",maison isolée,est du lieu-dit La Gimond,non,"
maison isolée, commune de Saint-Denis-sur-Coise, à l'est du lieu-dit La Gimond, à la limite des départements de la Loire et du Rhône, près d'une ancienne route allant de Saint-Galmier à Saint-Symphorien-sur-Coise.",
DT42-10102,"Reclus,",quartier,"faubourg de Lorette
",42123,"
quartier ou faubourg de Lorette
.",
DT42-10177,"Réservoir-de-Couzon,",,faubourg de Rive-de-Gier,non,"
communes de Sainte-Croix et de Rive-de-Gier. Ce réservoir, qui capte les eaux du Couzon pour alimenter en eau potable la ville de Rive-de-Gier, a été construit près d’un lieu-dit Couzon, aujourd'hui disparu, qu'il ne faut pas confondre avec Couzon, faubourg de Rive-de-Gier.",
DT42-05370,"Gemignieu,",lieu détruit,Feurs ou Civens,42094/42065,"
lieu détruit sur Feurs ou Civens, près des rives de la Loise, vers Le Palais.",
DT42-01886,"Campanegus,",lieu détruit,Forez (?),non,"
lieu détruit en Forez (?), près de la Coise.",
DT42-05137,"Furet (Le),",ruisseau,Furet,non,"
ruisseau. Coule dans la commune de Planfoy puis dans celle de Saint-Étienne où il se jette dans le Furan. Ce ruisseau était autrefois bordé par la localité ci-dessus, appelée Furet.",
DT42-02541,"Chastellard (Le),",lieu détruit,Gougeat,non,"
lieu détruit, près de Petit-Meyrieu, Gougeat… commune de Saint-Héand.",
DT42-02770,"Chavanerin (Le),",ruisseau,hameau de Chavanerin,non,"
ruisseau. Coule dans la commune de Saint-Jean-la-Vêtre, puis dans celle de La Côte-en-Couzan où il borde le hameau de Chavanerin ; porte ensuite le nom de Goutte-Beulière ou Siboulet.",
DT42-01351,"Bost (Le),",ruisseau,hameau de Colmans,non,"
ruisseau. Sépare les communes de Cezay et de Bussy-Albieux du canton de Saint-Germain-Laval. Affluent du ruisseau d'Argent. Passe près du village Le Bost (commune de Bussy-Albieux) et du hameau de Colmans (commune de Pommiers).",
DT42-06737,"Limony (Le),",ruisseau,hameau de Limonne,non,"
ruisseau. Prend sa source dans la commune de Saint-Julien-Molin-Molette, sert ensuite de limite au canton de Pélussin et au département de l'Ardèche où il continue son cours, et rejoint le Rhône à Limony. Ce ruisseau borde dans la commune de Maclas le hameau de Limonne.",
DT42-00114,"Andrable (L'),",rivière,Haute-Loire,non,"
rivière. Traverse les communes d'Estivareilles et de Merle. Affluent de l'Ance, dans la Haute-Loire.",
DT42-00764,Bergognon (Ruisseau de).,,Haute-Loire,non,"Coule dans la commune de Jonzieux, près du lieu-dit ci-dessus. Affluent de la Semène dans la Haute-Loire.",
DT42-02225,"Combassy,",ruisseau,Haute-Loire,non,"
ruisseau. Coule dans la commune d’Apinac et passe dans la Haute-Loire où il est affluent de l'Anse.",
DT42-05285,"Garenne (Rasa de),",ruisseau,Haute-Loire,non,"
ruisseau. Coule dans la commune de Rozier-Côtes-d'Aurec et passe dans la Haute-Loire.",
DT42-10283,"Riotord (Le),",ruisseau,Haute-Loire,non,"
ruisseau. Prend sa source dans la commune de Saint-Sauveur-en-Rue, passe dans la Haute-Loire où mêlé à d'autres ruisseaux il forme la Dunières.",
DT42-11287,"Semène (La),",rivière,Haute-Loire,non,"
rivière. Prend sa source dans la commune de Saint-Genest-Malifaux et sert de limite aux communes de Jonzieux et de Marlhes avant de passer dans la Haute-Loire où elle se jette dans la Loire, commune d’Aurec.",
DT42-06885,Lyonnais (Le).,Ancienne et vaste circonscription territoriale,Jarez,non,"
Ancienne et vaste circonscription territoriale dont Auguste Bernard a fixé l'étendue au 
x
e siècle par une carte (Cart. de Savigny, t. II). Le pagus ou comitatus Lugdunensis comprenait principalement, en ce qui concerne le département de la Loire : le 
Forez
 (ager Forensis), le Roannais (ager Rodanensis), le Jarez (ager Jarensis)… La formule consacrée par les actes des cartulaires de Savigny et de Cluny est généralement… in pago Lugdunense, in agro Forense… Rodanense… Jarense… Ces mentions disparaissent au 
xii
e siècle.",
DT42-03932,"Curaize (La),",rivière,L'Hôpital-le-Grand,42108,"
rivière. Prend sa source dans la commune de Chazelles-sur-Lavieu, coule ensuite dans les cantons de Saint-Jean-Soleymieux et de Montbrison. Affluent de La Mare à L'Hôpital-le-Grand.",
DT42-08515,"Onzion (L'),",rivière,L'Horme,42110,"
rivière. Sert de limite aux communes de Saint-Paul-en-Jarez, Saint-Martin-en-Coailleux et Saint-Julien-en-Jarez. Affluent du Gier à L'Horme.",
DT42-08961,"Petra Acuta,",lieu détruit,La Chaucessy,non,"
lieu détruit, commune de Saint-Just-en-Chevalet, près de Retaval, La Chaucessy.",
DT42-05362,"Gaysi (La),",ruisseau,La Côte,non,"nom disparu d'un ruisseau coulant commune de La Talaudière, près de Pont-Bayard, La Côte.",
DT42-02770,"Chavanerin (Le),",ruisseau,La Côte-en-Couzan,42072,"
ruisseau. Coule dans la commune de Saint-Jean-la-Vêtre, puis dans celle de La Côte-en-Couzan où il borde le hameau de Chavanerin ; porte ensuite le nom de Goutte-Beulière ou Siboulet.",
DT42-05546,"Gourd-Neuf,",délaissé,La Motte,non,"nom disparu d'un délaissé de la Loire, à La Motte, commune de Feurs.",
DT42-10993,"Saint-Maurice (Chapelle),",,La Sauvanière,non,"
commune du Chambon-Feugerolles, à La Sauvanière.",
DT42-06222,"Hôpital (L'),",lieu détruit,La Sauveté,non,"
lieu détruit, à La Sauveté, commune de Saint-Martin-la-Sauveté.",
DT42-08517,"Onzon (L'),",ruisseau,La Tour-en-Jarez,42311,"
ruisseau. Prend sa source près de Saint-Christô-en-Jarez. Traverse les communes de Sorbiers, La Talaudière. Affluent du Furan à La Tour-en-Jarez.",
DT42-03690,"Crezanson,",lieu détruit,La Tuilière,42314,"
lieu détruit, commune de Saint-Just-en-Chevalet ou La Tuilière.",
DT42-05173,"Galetière (La),",maison isolée,La Valla-en-Gier,42322,"
maison isolée, La Valla-en-Gier.",
DT42-06045,"Grozeliers,",lieu détruit,Le Sauzet,non,"
lieu détruit, commune de Saint-Priest-la-Vêtre, près de Crocombe, Le Sauzet.",
DT42-05248,Garde (Ruisseau de la).,ruisseau,lieu-dit ,non,Ce faible ruisseau borde le lieu-dit 383La Garde dans la commune de Saint-Didier-sur-Rochefort et se jette dans l'Anzon.,
DT42-00200,"Arpheuil,","ruisseau, goutte",lieu-dit Arpheuil,non,"
ruisseau, goutte. Limite des communes de Verrières et de Lézigneux. Affluent de la Vidéronne, borde le lieu-dit Arpheuil.",
DT42-09068,Pierre-des-Trois-Évêques.,Pierre circulaire,lieu-dit Charronde,non,"
Pierre circulaire, haute de 50 centimètres et mesurant approximativement deux mètres sur trois, sensiblement plate, au lieu-dit Charronde, commune de La Versanne, à la limite immédiate de la commune de Saint-Sauveur-en-Rue et non loin de celle de Saint-Regis-du-Coin. Cette pierre, qui porte des croix et des inscriptions, établissait, d'après la tradition, la limite des diocèses de Lyon, de Vienne et du Puy ; des quatre paroisses de Saint-Genest-Malifaux, Marlhes, Saint-Sauveur-en-Rue, Ruthianges ou La Versanne. 705Cette pierre limitait également les juridictions de La Faye, Montchal et Argental.",
DT42-05314,"Garolet (Le),",ruisseau,lieu-dit Échalon,non,"
ruisseau. Prend sa source commune de Saint-Martin-Lestra, traverse ensuite celles de Saint-Barthélemy-Lestra, Saint-Cyr-les-Vignes, Saint-Laurent-la-Conche et le sud de la commune de Feurs où il se jette dans la Loire. Il borde dans son bas cours, sur la commune de Saint-Laurent-la-Conche, un lieu-dit Échalon.",
DT42-04724,Fonde (Goutte de).,ruisseau,lieu-dit Fonde,non,Ce ruisseau sert de limites aux communes de Saint-Cyr-de-Favières de Commelle-Vernay et de Cordelle où il borde le lieu-dit Fonde. Affluent de la Loire.,
DT42-05208,"Gantet (Le),",ruisseau,lieu-dit Gantet,non,"
ruisseau. Source dans la commune de Violay. Affluent du Gand, commune de Sainte-Colombe, où il borde le lieu-dit Gantet.",
DT42-05441,"Gimond (La),",ruisseau,lieu-dit La Gimond,non,"
ruisseau. Sert de limite sur une partie de son haut cours aux communes de Chazelles-sur-Lyon et Saint-Denis-sur-Coise. Affluent de la Coise, rive droite, près de Jancenay. Borde dans la commune de Saint-Denis-sur-Coise le lieu-dit La Gimond.",
DT42-07015,Maladière (Ruisseau de la).,cours d'eau,lieu-dit La Maladière,non,"Ce cours d'eau signalé par l'Atlas cantonal et qui a reçu son nom du lieu-dit La Maladière, commune d’Ambierle, s'appelait Tagnetan dans tous les textes anciens.",
DT42-09402,"Plats (Goutte des),",ruisseau,lieu-dit Les Plats,non,"
ruisseau, commune de Verrières où il borde le lieu-dit Les Plats. Affluent de la Vidéronne.",
DT42-07340,Mas-Chabret (Ruisseau de).,ruisseau,lieu-dit Mas-Chabret,non,"Ce ruisseau coule dans la commune de Saint-Romain-d'Urfé, puis dans celle de Champoly où il borde le lieu-dit Mas-Chabret et où il se jette dans l'Aix.",
DT42-12041,de Leveaux (Ruisseau de la).,,lieu-dit Moulin-Leveaux,non,Prend sa source dans la commune de La Valla-sur-Rochefort ; traverse celle de Saint-Laurent-Rochefort où il borde le lieu-dit Moulin-Leveaux. Affluent de la Goutte-Beulière.,
DT42-11808,"Trésaillette (La),",ruisseau,lieu-dit Trésailles,non,"
ruisseau. Coule dans les communes de Lérigneux et d'Essertines-en-Châtelneuf où il borde le lieu-dit Trésailles. Affluent du Vizézy.",
DT42-12008,"Valencise (La),",rivière,lieu-dit Valencise,non,"
rivière. Traverse la commune de Pélussin où elle borde le lieu-dit Valencise, puis la commune de Chavanay où elle se jette dans le Rhône.",
DT42-01878,"Calvaire (Signal du),",écart,limite de Champoly,non,"
écart, commune des Salles, à la limite de Champoly.",
DT42-05023,"Fournache (La),",hameau,limite de Chuyer,non,"
hameau, commune de Pélussin, à la limite de Chuyer.",
DT42-07666,"Molon-Gras,",maison isolée,limite de Rozier-en-Donzy,non,"
maison isolée, commune de Cottance, à la limite de Rozier-en-Donzy.",
DT42-12122,"Vassoilles,",lieu détruit,limite de Saint-Marcel-de-Félines,non,"
lieu détruit, commune de Neulise, à la limite de Saint-Marcel-de-Félines.",
DT42-07691,"Mons,",hameau,limite de Saint-Maurice-en-Gourgois,non,"
hameau, commune d’Aurec (Haute-Loire). A la limite de Saint-Maurice-en-Gourgois.",
DT42-07183,"Mare (La),",rivière,limite des départements de la Loire et du Puy-de-Dôme,non,"
rivière. Prend sa source commune de Gumières à la limite des départements de la Loire et du Puy-de-Dôme. Traverse les cantons de Saint-Jean-Soleymieux, Saint-Rambert, Montbrison et se jette dans la Loire dans la commune de Boisset-lès-Montrond.",
DT42-09125,Pierre-sur-Haute.,Vaste région montagneuse,limite des départements de la Loire et du Puy-de-Dôme,non,"
Vaste région montagneuse dont le sommet atteint 1.639 mètres d'altitude, située dans la commune de Sauvain à la limite des départements de la Loire et du Puy-de-Dôme dans une région de grands pâturages.",
DT42-07007,"Maladière (La),",maison isolée,limite des départements de la Loire et du Rhône,non,"
maison isolée, commune de Saint-Denis-sur-Coise, à l'est du lieu-dit La Gimond, à la limite des départements de la Loire et du Rhône, près d'une ancienne route allant de Saint-Galmier à Saint-Symphorien-sur-Coise.",
DT42-09068,Pierre-des-Trois-Évêques.,Pierre circulaire,"limite des diocèses de Lyon, de Vienne et du Puy",non,"
Pierre circulaire, haute de 50 centimètres et mesurant approximativement deux mètres sur trois, sensiblement plate, au lieu-dit Charronde, commune de La Versanne, à la limite immédiate de la commune de Saint-Sauveur-en-Rue et non loin de celle de Saint-Regis-du-Coin. Cette pierre, qui porte des croix et des inscriptions, établissait, d'après la tradition, la limite des diocèses de Lyon, de Vienne et du Puy ; des quatre paroisses de Saint-Genest-Malifaux, Marlhes, Saint-Sauveur-en-Rue, Ruthianges ou La Versanne. 705Cette pierre limitait également les juridictions de La Faye, Montchal et Argental.",
DT42-04892,"Forches (Les),",lieu détruit,limite des mandements de Chagnon et de Saint-Chamond,non,"
lieu détruit, sur Saint-Christô-en-Jarez ou Sorbiers à la limite des mandements de Chagnon et de Saint-Chamond, près de Pontin.",
DT42-08875,"Perron (Le),",maison isolée,limite du département de la Loire,non,"
maison isolée, commune de Belleroche, à la limite du département de la Loire.",
DT42-03164,"Col-du-Béal,",,limite du département du Puy-de-Dôme,non,"
commune de Chalmazel, à la limite du département du Puy-de-Dôme.",
DT42-06737,"Limony (Le),",ruisseau,Limony,07143,"
ruisseau. Prend sa source dans la commune de Saint-Julien-Molin-Molette, sert ensuite de limite au canton de Pélussin et au département de l'Ardèche où il continue son cours, et rejoint le Rhône à Limony. Ce ruisseau borde dans la commune de Maclas le hameau de Limonne.",
DT42-11757,"Trambouze (La),",ruisseau,Loire,non,"
ruisseau. Prend sa source dans le département du Rhône, et dans celui de la Loire, sert de limite aux communes de Combre et de Saint-Victor-sur-Rhins. Affluent du Rhins.",
DT42-11271,Ségusiaves.,tribu,Lyonnais,non,"Nom de la tribu qui habitait le 
Forez
 et le Lyonnais à l'époque gauloise.",
DT42-01988,"Cévennes (Monts),",,Massif Central,non,nom générique autrefois donné à toute la bordure orientale du Massif Central jusqu'à Lyon… Saint-Étienne.,
DT42-05016,"Fourches (Les),",lieu détruit,Millantin,non,"
lieu détruit, commune de Saint-Martin-la-Sauveté, à Millantin sur un sommet (Bullet. de la Diana, t. IX, p. 383).",
DT42-04314,"Espinaczousa,",lieu détruit,Monchal,42148,"
lieu détruit sur la commune de Violay ou sur celle de Monchal.",
DT42-11971,Uzore.,Vaste territoire,"Mont-d'Uzore, Saint-Paul d'Uzore, Chalain-d'Uzore",non,"
Vaste territoire dans la plaine du Forez s'étendant sur le Mont-d'Uzore, Saint-Paul d'Uzore, Chalain-d'Uzore. Voir ces noms.
      ",
DT42-00136,"Anzieux (L.),",ruisseau,Montrond,42149,"
ruisseau. Traverse les communes de Maringes, Bellegarde. Affluent de la Loire à Montrond.",
DT42-03392,"Torcenniacus,",paroisse disparue,Nervieux et Mizérieux,non,"
paroisse disparue, citée après Nervieux et Mizérieux, dans l'archiprêtré de Pommiers. Canton de Boën ?
      ",
DT42-01456,"Bourg-Neuf,",quartier,Neufbourg,non,"
quartier de la ville de Roanne, clos et tour en 1531. Depuis 1585 mué en Neufbourg. Érigé en fief pour Antoine de Lingendes. Aux Courtin depuis 1624 
(Chart. du Forez, n° 652, n. 12, Arch. du Roannais, E 241-244).",
DT42-04921,"Foreté (La),",plateau de montagne,Noëlas,non,"
plateau de montagne, commune de Saint-Haon-le-Vieux, signalé par Noëlas (Dict. topo. du canton de Saint-Haon-le Châtel) qui ajoute que ce territoire conserve des vestiges d'un oppidum.",
DT42-01938,"Cassiacus,",lieu détruit,"non loin d''Épercieux
",42088,"
lieu détruit, non loin d''Épercieux
.",
DT42-08552,"Orme-des-Hommes-Morts (L'),",lieu détruit,non loin de ,non,"
lieu détruit, non loin de 663Basson, Trocésar, commune de Marcenod ou Saint-Christô-en-Jarez.",
DT42-11481,Surgène (La).,ruisseau,"nord de Crozet
",42078,"Nom disparu d'un ruisseau coulant au nord de Crozet
.",
DT42-01190,"Bois-du-Roy,",,"nord de La Chamba
",42040,"

xviii
e siècle (Cassini). Au nord de La Chamba
.",
DT42-09117,"Pierre Saint Martin (La),",lieu détruit,nord de Montgrenier,non,"
lieu détruit, commune de Saint-Just-en-Chevalet, au nord de Montgrenier.",
DT42-11422,"Sornin (Le),",rivière,nord de Pouilly-sous-Charlieu,42177,"
rivière. Prend sa source dans le département du Rhône et traverse dans le département de la Loire le canton de Charlieu. Affluent de la Loire au nord de Pouilly-sous-Charlieu.",
DT42-08573,"Oudan (L'),",rivière,nord de Roanne,42187,"
rivière. Traverse les communes de Renaison et de Saint-Romain-la-Motte. Sert de limite aux communes de Mably et de Riorges. Affluent de la Loire au nord de Roanne.",
DT42-10871,"Saint Éloy,",chapelle,"nord de Saint-Just-la-Pendue
",42249,"
chapelle. Signalée par Cassini au nord de Saint-Just-la-Pendue
.",
DT42-00855,"Bessonnière,",hameau,nord de Saint-Marcel-de-Félines,non,"
hameau, commune de Saint-Marcel-de-Félines. Cassini signale un lieu dit Besson au nord de Saint-Marcel-de-Félines.",
DT42-08275,"Muret,",lieu détruit,"nord de Saint-Marcel-de-Félines
",42254,"
lieu détruit, signalé par Cassini au nord de Saint-Marcel-de-Félines
, près de Monterno.",
DT42-05440,"Gimond (La),",ruisseau,nord de Saint-Médard,42264,"
ruisseau. Sert de limite aux communes de Saint-Héand et de La Gimond où il borde le village de La Gimond. Divise la commune de Chevrières de celle d'Aveizieux et se jette dans la Coise (rive gauche) au nord de Saint-Médard.",
DT42-00191,"Armanzon (L'),",ruisseau,"nord de Sainte-Foy-Saint-Sulpice
",42221,"
ruisseau. Affluent de l'Onzon, au nord de Sainte-Foy-Saint-Sulpice
.",
DT42-08424,"Notre-Dame-Dentrerieux,",chapelle,"nord de Tartaras
",42307,"
chapelle signalée par Cassini au nord de Tartaras
.",
DT42-06268,"Infirmerie (L'),",lieu détruit,ouest d'Amancieux,non,"
lieu détruit, commune de Sury-le-Comtal, près et à l'ouest d'Amancieux.",
DT42-03119,"Coffolent,",ruisseau,ouest de Condailly,non,"
lieu détruit et nom disparu d'un ruisseau, à l'ouest de Condailly, dans la commune de Cordelle.",
DT42-07760,"Mont Arsis,",lieu détruit,ouest de l'Hospitalet,non,"
lieu détruit, commune de Saint-Marcellin, à l'ouest de l'Hospitalet, à la cote 563.",
DT42-10872,"Saint Éloy,",chapelle,ouest de Saint-Symphorien-de-Lay,42289,"
chapelle à l'ouest de Saint-Symphorien-de-Lay. Signalée par Cassini.",
DT42-07851,"Montezin,",lieu détruit,ouest de Villechèze,non,"
lieu détruit, signalé par Cassini à l'ouest de Villechèze (Saint-Marcel-de-Félines).",
DT42-04443,Exarpipetracensis,ager,pago Lugdunensi,non,"
ager in pago Lugdunensi, 1000 
(Cart. de Savigny, t. I, p. 267).",
DT42-07207,Maringes (Goutte de).,ruisseau,"paroisse de Maringes
",42138,"Nom porté autrefois par un ruisseau dans la paroisse de Maringes
.",
DT42-06483,"Justice (La),",lieu-dit,"paroisse de Moingt
",42147,"
lieu-dit, signalé par Cassini dans la paroisse de Moingt
, au sud de Montagneux.",
DT42-07593,"Mine-de-Charbon,",lieu-dit,"paroisse de Rive-de-Gier
",42186,"
lieu-dit, dans la paroisse de Rive-de-Gier
. Signalé par Cassini.",
DT42-06086,"Guigoneyri (La),",ancien hameau,"paroisse de Saint-Étienne
",42218,"
ancien hameau de la paroisse de Saint-Étienne
.",
DT42-08974,"Peupueylh,",lieu détruit,paroisse de Saint-Priest-en-Rousset,non,"
lieu détruit, commune de Boisset-Saint-Priest, sur la paroisse de Saint-Priest-en-Rousset.",
DT42-08337,"Nevant,",lieu détruit,"paroisse de Saint-Vincent-de-Boisset
",42294,"
lieu détruit, signalé par Cassini dans la paroisse de Saint-Vincent-de-Boisset
.",
DT42-09068,Pierre-des-Trois-Évêques.,Pierre circulaire,"paroisses de Saint-Genest-Malifaux, Marlhes, Saint-Sauveur-en-Rue, Ruthianges ou La Versanne",non,"
Pierre circulaire, haute de 50 centimètres et mesurant approximativement deux mètres sur trois, sensiblement plate, au lieu-dit Charronde, commune de La Versanne, à la limite immédiate de la commune de Saint-Sauveur-en-Rue et non loin de celle de Saint-Regis-du-Coin. Cette pierre, qui porte des croix et des inscriptions, établissait, d'après la tradition, la limite des diocèses de Lyon, de Vienne et du Puy ; des quatre paroisses de Saint-Genest-Malifaux, Marlhes, Saint-Sauveur-en-Rue, Ruthianges ou La Versanne. 705Cette pierre limitait également les juridictions de La Faye, Montchal et Argental.",
DT42-09893,"Puits-des-Fées,",excavation,pente orientale du Pic-des-Trois-Dents,non,"
excavation sur la pente orientale du Pic-des-Trois-Dents, commune de Roisey.",
DT42-06808,"Loire-Vieille, Vieille-Loire.",lieux-dits,plaine du Forez,non,"Nom porté dès le moyen-âge par de nombreux lieux-dits dans la plaine du Forez qui signalent des territoires que la Loire avait laissés à sec en changeant de lit à la suite d'inondations. Ces déplacements du cours du fleuve se produisaient surtout dans les communes de Chambéon, Cleppé et Feurs.",
DT42-11971,Uzore.,Vaste territoire,plaine du Forez,non,"
Vaste territoire dans la plaine du Forez s'étendant sur le Mont-d'Uzore, Saint-Paul d'Uzore, Chalain-d'Uzore. Voir ces noms.
      ",
DT42-07928,"Mont-Paillieu,",lieu détruit,Poizat,non,"
lieu détruit, commune de Saint-Héand, au sud-ouest du bourg, près du chemin de Saint-Héand à Poizat.",
DT42-06687,"Leuscha,",lieu détruit,"portes de Saint-Bonnet-le-Château
",42204,"
lieu détruit, aux portes de Saint-Bonnet-le-Château
.",
