Article,Vedette,Type vedette,Candidat,INSEE,Définition,Commentaire
DT02-00215,"Autreppe (L’),",ferme,prévôté de Ribemont,non,ruisseau qui doit son nom à une ferme qui existait encore en 1732 (prévôté de Ribemont).,
DT02-03432,"Manaflucq,",bois,prieuré de Roucy,non,"bois, près de Craonne, dont la moitié a été donnée en 1112 au prieuré de Roucy (évêché de Laon).",
DT02-06233,"Vivier,",partie du bois,Puisieux,02629,partie du bois de Puisieux où l’on voit encore les traces d’un étang.,
DT02-06190,"Villers,",village détruit,Reims,non,"village détruit, entre Crepy et Couvron, près de la station du chemin de fer de Reims à Tergnier.",
DT02-01360,"Chauday (Ru de),",ruisseau,Rozoy-le-Grand,02665,"ruisseau qui prend sa source à Rozoy-le-Grand, passe à Oulchy-le-Chateau et se jette dans l’Ourcq, après avoir alimenté deux moulins à blé.",
DT02-04377,"Omignon,",rivière,Saint-Christ,080701,"rivière qui prend sa source à Pontru, forme l’étang de Vadencourt, alimente les usines de Béhicourt, Vermand, Villevêque et Caulaincourt, et se jette dans la Somme à Saint-Christ (Somme).",
DT02-06084,"Vermandois,",petite province,Santerre,non,"petite province bornée au nord par le Cambrésis et l’Artois, à l’ouest par le Santerre, au sud par le Noyonnais et la Thiérache, et à l’est par cette dernière province, qui en avait été en partie, au moyen âge, une dépendance.",
DT02-01120,"Cavet (Le),",vassal,seigneurie d’Abbécourt,non,"fief, commune d’Abbécourt ; vassal de la seigneurie d’Abbécourt.",
DT02-00260,"Balaine,",petit fief,seigneurie de Chassemy,non,petit fief uni à la seigneurie de Chassemy.,
DT02-03928,"Motte (La),",fief,seigneurie de Pierremande,non,"fief, commune d’Achery ; il relevait du comté d’Anizy et de la seigneurie de Pierremande.",
DT02-05650,"Somme,",rivière,Seraucourt-le-Grand,02710,"rivière qui prend sa source au-dessous de Fonsomme, vers Essigny-le-Petit, traverse le territoire de cette commune et ceux de Lesdins, Morcourt, Saint-Quentin, Castres, Fontaine-les-Clercs, Seraucourt-le-Grand, Happencourt, Artemps, Tugny-et-Pont, Dury et Pithon.",
DT02-05708,"Tardenois,",petite province,Soissonnais,non,"petite province du Soissonnais dont l’étendue semble avoir été à peu près celle de l’archidiaconé du même nom, composé des doyennés ruraux de Bazoches, Fere-en-Tardenois, Neuilly-Saint-Front et Oulchy-le-Chateau, en retranchant cependant ce qui appartenait à l’Orxois.",
DT02-02230,"Floart (Le),",ruisseau,"territoires d’Arrancy, Bièvres, Chamouille",02024/02088/02158,"ruisseau, affluent de la rivière d’Ailette à Chamouille ; il prend sa source à Arrancy, où on le désigne sous le nom de ruisseau Saint-Jacques, traverse les territoires d’Arrancy, Bièvres, Chamouille, et alimente les moulins d’Arrancy, Vaurseine, Bièvres et Chamouille.",
DT02-03025,"Hozier (Ru d’),",ruisseau,territoires d’Épagny et de Vézaponin,02277/02793,"ruisseau qui prend sa source à Bagneux et à Audignicourt, traverse les territoires d’Épagny et de Vézaponin, alimente dans le département de l’Aisne sept moulins à blé et deux féculeries et se jette dans l’Aisne à Vic-sur-Aisne.",
DT02-06104,"Vesle,",rivière,"territoires de Braine, Limé, Courcelles, Augy, Bazoches, Fismes, Villesavoye, Saint-Thibaut, Mont-Notre-Dame, Paars, Chassemy et Vasseny",02110/02432/02224/02036/02054/51250/02817/02695/02520/02581/02167/02763,"rivière qui afflue à l’Aisne à Conde-sur-Aisne, à l’extrémité du territoire de Ciry-Salsogne, après avoir séparé les territoires de Braine, Limé, Courcelles, Augy, Bazoches, Fismes, Villesavoye, Saint-Thibaut, Mont-Notre-Dame, Paars, Chassemy et Vasseny ; elle fait mouvoir six moulins à blé dans le département de l’Aisne, où son parcours est de 30,752 mètres.",
DT02-05623,"Serre (La),",rivière,territoires de Chaourse et d’Agnicourt-et-Séchelles,02160/02004,"rivière qui prend sa source à la Férée (Ardennes), traverse les territoires de Sainte-Geneviève et de Rouvroy, sépare ce dernier de celui de Rozoy-sur-Serre, qu’elle traverse, passe à Chery-lez-Rozoy et à Montcornet, limite les territoires de Chaourse et d’Agnicourt-et-Séchelles, passe ensuite à Saint-Pierremont, Erlon, Dercy, Mortiers, Crecy-sur-Serre, Assis-sur-Serre, Pont-a-Bucy, Anguilcourt-le-Sart, et se jette dans l’Oise, à Danizy, après un cours de 104,930 mètres pendant lequel elle alimente vingt moulins à blé, une taillanderie, un moulin à huile et trois filatures.",
DT02-04392,"Orillon,",rivière,territoires de Cohan et de Dravegny,02220/02271,"rivière qui prend sa source à Coulonges, traverse les territoires de Cohan et de Dravegny et se jette dans l’Ardre, après un parcours de 6,700 mètres.",
DT02-00646,"Bois-Lavier,",fief,territoires de Couvron et de Fourdrain,02231/02329,"fief relevant de la Fère, à l’extrémité des territoires de Couvron et de Fourdrain.",
DT02-04724,"Ployon (Le),",ruisseau,"territoires de Craonnelle, Craonne, Beaurieux, Pontavert, Chaudardes",02235/02234/02058/02613/02171,"ruisseau qui traverse les territoires de Craonnelle, Craonne, Beaurieux, Pontavert, Chaudardes, et afflue à l’Aisne dans ce dernier lieu, après avoir alimenté trois moulins à blé.",
DT02-03634,"Miette (La),",ruisseau,"territoires de Juvincourt-et-Dammarie, de la Ville-aux-Bois-lez-Pontavert et de Pontavert",02399/02803/02613,"ruisseau qui prend sa source à la dernière maison d’Amifontaine, traverse les territoires de Juvincourt-et-Dammarie, de la Ville-aux-Bois-lez-Pontavert et de Pontavert et se joint à l’Aisne dans cette dernière commune, après un cours de 13 kilomètres.",
DT02-05591,"Ségril,",ruisseau,territoires de la Flamangrie et du Nouvion,02312/02558,"ruisseau qui prend sa source à l’extrémité des territoires de la Flamangrie et du Nouvion, traverse le territoire d’Esquehéries dans toute sa longueur, sépare sur une grande étendue ceux de Dorengt et de la Neuville-lez-Dorengt jusqu’au hameau de Cocréaumont, traverse la Neuville-lez-Dorengt et va se perdre dans le canal de Sambre-et-Oise à Etreux.",
DT02-00127,"Ardon (L’),",ruisseau,"territoires de Laon, de Chivy, d’Étouvelles, de Laval, de Vaucelles-et-Beffecourt, d’Urcel et de Royaucourt-et-Chailvet",02408/02191/02294/02413/02765/02755/02661,"ruisseau qui prend sa source dans le bois du Sauvoir, à l’est de Laon, traverse les territoires de Laon, de Chivy, d’Étouvelles, de Laval, de Vaucelles-et-Beffecourt, d’Urcel et de Royaucourt-et-Chailvet et afflue dans la rivière d’Ailette à Royaucourt-et-Chailvet, après un parcours de 13,950 mètres.",
DT02-03164,"Lehone,",ruisseau,"territoires de Liez, Quessy, Fargniers et Tergnier",02431/02738/02738/02738,"ruisseau qui afflue dans l’Oise à Tergnier, après avoir traversé les territoires de Liez, Quessy, Fargniers et Tergnier et alimenté les moulins à blé de Fargniers et de Quessy, et dont le parcours est de 10 kilomètres.",
DT02-04509,"Péron (Le),",petit ruisseau,"territoires de Monceau-le-Neuf-et-Faucousis, de la Ferté-Chevresis et de Mesbrecourt-Richecourt",02491/02306/02480,"petit ruisseau qui traverse les territoires de Monceau-le-Neuf-et-Faucousis, de la Ferté-Chevresis et de Mesbrecourt-Richecourt, sépare les territoires de ces deux dernières sections de commune et va enfin se joindre à la Serre à Nouvion-Catillon après un cours de 3,350 mètres.",
DT02-04270,"Muzon (Le),",ruisseau,territoires de Mont-Notre-Dame et de Quincy-sous-le-Mont,02520/02633,"ruisseau qui prend sa source à Loupeigne, sépare les territoires des communes de Courcelles, Lhuys, Mont-Notre-Dame, Paars, Quincy-sous-le-Mont, et va ensuite se jeter dans la Vesle près du pont d’Ancy, à l’extrémité des territoires de Mont-Notre-Dame et de Quincy-sous-le-Mont.",
DT02-05061,"de Rest (Ru des),",ruisseau,territoires de Montgobert et de Cœuvres,02506/02201,"ruisseau qui prend sa source à Puiseux, traverse les territoires de Montgobert et de Cœuvres, sépare ceux de Cutry et de Laversine, passe à Saint-Bandry et se jette dans l’Aisne à Ambleny.",
DT02-05990,"Vendy (Ru de),",rivière,"territoires de Retheuil, de Taillefontaine et de Mortefontaine",02644/02734/02528,"rivière qui traverse les territoires de Retheuil, de Taillefontaine et de Mortefontaine, n’alimente dans le département de l’Aisne, où son parcours est de 6,182 mètres, qu’un moulin à blé, et va se jeter dans la rivière d’Aisne en aval d’Attichy.",
DT02-04555,"Petite-Helpe (La),",petite rivière,territoires de Rocquigny et d’Étrœungt,02650/59218,"petite rivière qui sépare les territoires de Rocquigny et d’Étrœungt, alimente le moulin de Rocquigny et afflue à la Sambre à Landrecies après un cours, dans le département de l’Aisne, de 4 kilomètres.",
DT02-04969,"Rasset,",ruisseau,territoires de Saint-Agnan et de la Chapelle-Monthodon,02669/02161,ruisseau qui sépare les territoires de Saint-Agnan et de la Chapelle-Monthodon et se jette dans le Surmelin à Celles-lez-Conde.,
DT02-05623,"Serre (La),",rivière,territoires de Sainte-Geneviève et de Rouvroy,02678/02660,"rivière qui prend sa source à la Férée (Ardennes), traverse les territoires de Sainte-Geneviève et de Rouvroy, sépare ce dernier de celui de Rozoy-sur-Serre, qu’elle traverse, passe à Chery-lez-Rozoy et à Montcornet, limite les territoires de Chaourse et d’Agnicourt-et-Séchelles, passe ensuite à Saint-Pierremont, Erlon, Dercy, Mortiers, Crecy-sur-Serre, Assis-sur-Serre, Pont-a-Bucy, Anguilcourt-le-Sart, et se jette dans l’Oise, à Danizy, après un cours de 104,930 mètres pendant lequel elle alimente vingt moulins à blé, une taillanderie, un moulin à huile et trois filatures.",
DT02-02755,"Grèves (Ru des),",ruisseau,"territoires de Sinceny, de Pierremande et de Bichancourt",02719/02599/02086,"ruisseau qui prend sa source dans la Basse-Forêt de Coucy, au territoire d’Amigny-Rouy, traverse les territoires de Sinceny, de Pierremande et de Bichancourt, et n’alimente aucune usine dans un parcours de 7,100 mètres.",
DT02-04881,"Preux (Ru),",ruisseau,territoires de Venizel et d’Acy,02780/02003,"ruisseau qui prend sa source à Serches, alimente quatre moulins à blé dans un parcours de 5,279 mètres et se jette dans l’Aisne en face d’Acy, à l’extrémité des territoires de Venizel et d’Acy, qu’il sépare.",
DT02-03682,"Monde (Le),",ruisseau,territoires de Villequier-au-Mont et de Viry-Noureuil,02807/02820,"ruisseau qui prend sa source à Ugny-le-Gay, traverse les territoires de Villequier-au-Mont et de Viry-Noureuil et se jette dans l’Oise à Chauny, après un parcours de 15,500 mètres.",
DT02-02570,"Gland (Le),",petite rivière,"territoires de Wattigny, Leuze et Martigny",02831/02425/02470,"petite rivière qui prend sa source à la Chapelle-des-Glands, dans le bois de Beaulieu (Ardennes), traverse dans le département de l’Aisne le territoire d’Any-Martin-Rieux, où il prend le nom de rivière des Champs, limite les territoires de Wattigny, Leuze et Martigny, et traverse ceux de Saint-Michel et d’Hirson avant de se jeter dans la rivière d’Oise à Hirson.",
DT02-00140,"Arrouaise,",forêt,Thiérache,non,"forêt qui joignait à l’est celle de Thiérache ; à l’ouest, celle de Vicoigne dans l’Artois.",
DT02-06084,"Vermandois,",petite province,Thiérache,non,"petite province bornée au nord par le Cambrésis et l’Artois, à l’ouest par le Santerre, au sud par le Noyonnais et la Thiérache, et à l’est par cette dernière province, qui en avait été en partie, au moyen âge, une dépendance.",
DT02-00360,"Bauverguier,",vassal,Thorigny,non,fief ; vassal de Thorigny.,
DT02-00659,"Hauys,",vassal,Thorigny,non,"fief, commune de Bellicourt ; vassal de Thorigny.",
DT02-01623,"la Justice,",vassal,Thorigny,non,"fief, commune du Haucourt ; vassal de Thorigny.",
DT02-04444,"Parent,",vassal,Thorigny,non,"petit fief, commune du Verguier ; vassal de Thorigny, puis uni à cette seigneurie.",
DT02-05067,"Rivièrette-d’Happencourt (La),",ruisseau,Tugny,02752,"ruisseau qui prend sa source à Happencourt, traverse ensuite le territoire d’Artemps en partie et se jette dans la Somme à Tugny ; il n’alimente point d’usine.",
DT02-00564,"Blécourt,",vassal,Varennes,non,"fief, commune de Marest-Dampcourt ; vassal de Varennes.",
DT02-00036,"Aisne,",rivière,Vaubecourt,55532,"rivière qui prend sa source à Vaubecourt (Meuse), devient navigable au-dessus de Neufchâtel et afflue à l’Oise près de Compiègne.",
DT02-00032,"Ailette,",rivière,Vauclerc,non,"rivière qui prend sa source à Corbeny, limite beaucoup de territoires : sur la rive droite, Chermizy, Pancy, Monampteuil, Urcel, Chaillevois, Anizy-le-Chateau, Landricourt et Jumencourt ; sur la rive gauche, Vauclerc, Ailles, Cerny-en-Laonnois, Filain, Pargny-Filain, Chavignon, Pinon, Vauxaillon, Crecy-au-Mont, Guny et Trosly-Loire, et afflue dans l’Oise à Manicamp, après un cours de 62,750 mètres.",
DT02-00355,"Baudon,",ruisseau,Vendresse,02778,"ruisseau qui prend sa source à Vendresse, passe à Verneuil-Courtonne et se jette dans l’Aisne à Moussy-sur-Aisne.",
DT02-00212,"Automne (L’),",rivière,Verberie,60667,"rivière qui a sa source entre Coyolles et Pisseleux et vase jeter dans la rivière d’Oise à Verberie (Oise) ; elle alimente le moulin de Coyolles et n’a dans le département de l’Aisne qu’un parcours de 6,970 mètres.",
DT02-05742,"Thiérache,",petite province ou contrée limitée,Vermandois,non,"petite province ou contrée limitée au nord par le Cambrésis et le Hainaut, à l’est par la Champagne, au sud par le Laonnois et à l’ouest par le Vermandois.",
DT02-05598,"Sémery,",petit fief,vers Audigny,non,"petit fief, commune de Puisieux-et-Clanlieu, vers Audigny.",
DT02-03404,"Malassise,",ferme,vers Chaumont,non,"ferme, près de Lierval, vers Chaumont.",
DT02-03311,"Mahy,",fontaine,vers Cuffies,non,"fontaine, commune de Pasly ; au versant de la montagne vers Cuffies.",
DT02-05650,"Somme,",rivière,vers Essigny-le-Petit,non,"rivière qui prend sa source au-dessous de Fonsomme, vers Essigny-le-Petit, traverse le territoire de cette commune et ceux de Lesdins, Morcourt, Saint-Quentin, Castres, Fontaine-les-Clercs, Seraucourt-le-Grand, Happencourt, Artemps, Tugny-et-Pont, Dury et Pithon.",
DT02-05123,"Rolon (Ru de),",ruisseau,vers Gland,02347,ruisseau de la commune de Mont-Saint-Père qui se jette dans la Marne vers Gland.,
DT02-03074,"Jeton,",faubourg,vers Leuze,non,"faubourg d’Aubenton 
      vers Leuze.",
DT02-04062,"Moulin de Hugues,",moulin à eau,vers Lierval,02429,"moulin à eau dans le voisinage de Laon, vers Lierval ; aujourd’hui détruit.",
DT02-05689,"Suzemont,",faubourg,vers Lucy,non,"faubourg de Ribemont, vers Lucy.",
DT02-06244,"Vivier-le-Roi,",fief,vers Regny,non,"fief, commune de Sissy, vers Regny.",
DT02-01017,"Vilcar,",vassal,vicomté de Landifay,non,"fief, commune de Landifay ; vassal de la vicomté de Landifay.",
DT02-05647,"Solon,",vassal,vicomté de Landifay,non,"petit fief, commune de Landifay-et-Bertaignemont ; vassal de la vicomté de Landifay.",
DT02-03255,"Lorge (Ru de),",ruisseau,Viels-Maisons,02798,"ruisseau qui prend sa source dans la grande forêt à Viels-Maisons, reçoit à sa gauche le ru de la Commune, à sa droite, celui du Bois-Hochet, et se jette dans la Marne à Nogent-l'Artaud, au-dessous du moulin d’Ambraine.",
DT02-01244,"Champvoicy,",petit ruisseau,Villers-Agron,02809,petit ruisseau qui prend sa source à Goussancourt et se jette dans la Sémoigne à Villers-Agron.,
DT02-05132,"Romigny,",petit ruisseau,Villers-Agron,02809,petit ruisseau qui se jette dans la Sémoigne à Villers-Agron.,
DT02-04377,"Omignon,",rivière,Villevêque,non,"rivière qui prend sa source à Pontru, forme l’étang de Vadencourt, alimente les usines de Béhicourt, Vermand, Villevêque et Caulaincourt, et se jette dans la Somme à Saint-Christ (Somme).",
DT02-01035,"Carbonniers,",bois,voisinage d’Origny,non,"bois, voisinage d’Origny, 1527 
      (arch. de l’Emp. P 249-3).",
DT02-00629,"Boisencourt,",,"voisinage de Clacy
    ",02196,"dans le voisinage de Clacy
    .",
DT02-00812,"Brangicourt,",moulin détruit,voisinage de Festieux,02309,moulin détruit dans le voisinage de Festieux.,
DT02-01684,"Cour-Demiselle-Marie,",fief,voisinage de Jeantes,02391,fief dans le voisinage de Jeantes.,
DT02-04062,"Moulin de Hugues,",moulin à eau,voisinage de Laon,non,"moulin à eau dans le voisinage de Laon, vers Lierval ; aujourd’hui détruit.",
DT02-05674,"Sourdon (Le),",bois,voisinage de Mondrepuis,02495,"bois dans le voisinage de Mondrepuis, 1335 
      (cart. de la seign. de Guise, f° 186).",
DT02-05715,"Taterel,",moulin à eau,voisinage de Montbavin,02499,moulin à eau dans le voisinage de Montbavin ; aujourd’hui détruit.,
DT02-05620,"Sermois,",hameau détruit,voisinage de Montigny-le-Franc,02513,hameau détruit dans le voisinage de Montigny-le-Franc.,
DT02-00184,"Audoncourt,",ferme détruite,voisinage de Ribemont,02648,ferme détruite dans le voisinage de Ribemont.,
