Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-12979,"Saint-Pierre-du-Lec,",ancienne chapelle,diocèse de Narbonne,non,"
ancienne chapelle dépendant de la paroisse d’Armissan, au diocèse de Narbonne ; ancienne seigneurie donnée par le comte Wilfred à l’abbaye de Lagrasse vers 855, achetée en 1564 par les consuls de Narbonne et rachetée par l’abbaye en 1669.",
DT11-13132,"Saissaguaise (La),",ancienne route,diocèse de Saint-Papoul,non,"
ancienne route qui desservait la partie Nord du diocèse de Saint-Papoul, sur les flancs de la Montagne Noire.",
DT11-12568,"Saint-Jean,",ancienne abbaye,diocèse de Suse,non,"
ancienne abbaye, au diocèse de Narbonne, unie par le pape Innocent III à l’abbaye de Saint-Michel-de-Cluse, au diocèse de Turin, aujourd’hui au diocèse de Suse.",
DT11-07570,"Marquein,",ancienne paroisse,diocèse de Toulouse,non,"
commune, canton de Salles-sur-l’Hers ; ancienne paroisse, d’abord du diocèse de Toulouse, puis du diocèse de Mirepoix ; l’église paroissiale, dédiée à saint Caprais, était unie à la dignité de prévôt de Saint-Étienne de Toulouse.",
DT11-12568,"Saint-Jean,",ancienne abbaye,diocèse de Turin,non,"
ancienne abbaye, au diocèse de Narbonne, unie par le pape Innocent III à l’abbaye de Saint-Michel-de-Cluse, au diocèse de Turin, aujourd’hui au diocèse de Suse.",
DT11-13772,"Terre-Privilégiée (La),",portion,diocèses de Mirepoix et d’Alet,non,"
portion des diocèses de Mirepoix et d’Alet qui était exempte de toute imposition moyennant une somme annuelle qu’on appelait subvention.",
DT11-01618,"Bourguet (Le),",ancien quartier,Dominicains,non,"
ancien quartier où fut bâti le premier couvent des Dominicains, commune de Fanjeaux.",
DT11-04222,"Escouloubrès (L’),",territoire,Donézan,non,"expression géographique servant à désigner le territoire borné à l’E. par les montagnes du Roquefortès, au S. par le Donézan, au N. par la rivière d’Aude.",
DT11-08310,"Montménal,",ancienne limite,Donézan,non,"
lieu dit, commune de Mérial ; ancienne limite du pays de Sault et du Donézan.",
DT11-13958,"Tourrido,",col,Donézan,non,"
col qui met en communication Mazuby et la vallée du Rébenty avec Campagna-de-Sault et le Donézan.",
DT11-09331,"Orbieu (L’),",rivière,Durfort,non,"
rivière (71 kilomètres), affluent de l’Aude, rive droite ; prend sa source près de Fourtou ; arrose à droite Auriac, Mouthoumet, Lanet, Salsa, Vignevieille, Saint-Martin-des-Puits, Saint-Pierre-des-Champs, Lagrasse, Ribaute, Ferrals, Luc, Ornaisons, Nevian et Marcorignan ; à gauche : Albieres, Bouisse, Montjoy, Lairiere, Durfort, Camplong, Fabrezan, Lezignan, Cruscades et Raissac-d'Aude.",
DT11-12359,"Saint-Étienne,",église paroissiale,Durfort,non,"
église paroissiale de Durfort, hameau de la commune de Vignevieille, unie par l’archevêque Richard au chapitre Saint-Just de Narbonne.",
DT11-08073,"Miramont,",ferme disparue,E. de Fontazelles,non,"
ferme disparue, à l’E. de Fontazelles, commune de Fenouillet ; ancienne propriété du monastère de Prouille.",
DT11-10255,"Pila (Le),",montagne,E. de Gaussan,non,"
montagne, à l’E. de Gaussan, commune de Bizanet.",
DT11-04456,"Fabre (Étang de),",ancien étang,E. de Lézignan,11203,"
ancien étang à l’E. de Lézignan.",
DT11-06092,"« Hosuerbas »,",ancien relais,E. de Narbonne,non,"
ancien relais sur la route de Narbonne à Bordeaux, à 15 milles à l’E. de Narbonne, d’après l’Itinéraire d’Antonin : Mutatio Hosuerbas ; à 11 milles, d’après la Table théodosienne : Usuerna = Usuerva.
      ",
DT11-11754,"Rouire,",chapellenie,église de Bouilhonnac,11043,"
chapellenie dans l’église de Bouilhonnac, au profit de l’abbaye de Lagrasse, 1756 
(Caldaguez, p. 251).",
DT11-12183,"Sainte-Colombe,",chapelle rurale,église de Gramazie,11167,"
chapelle rurale qui dépendait de l’église de Gramazie.",
DT11-12362,"Saint-Étienne,",ancienne chapellenie,église de Lagrasse,11185,"
ancienne chapellenie dans l’église de Lagrasse, 1756 
(Caldaguez, p. 250).",
DT11-09168,"Notre-Dame-de-Bonaïré,",chapellenie,église de Laure,11198,"
chapellenie dans l’église de Laure, 1668 
(comp., p. 17).",
DT11-09137,"Notre-Dame,",ancienne chapellenie,église de Montferrand,11243,"
ancienne chapellenie dans l’église de Montferrand, 1793 
(arch. Aude, Q, Castelnaudary, n° 230).",
DT11-14294,"Valada (Le),",ancien fief,église de Niort,non,"
ancien fief de l’église de Niort ; lieu dit, commune de Rodome.",
DT11-12163,"Sainte-Catherine,",chapelle et chapellenie,église de Saint-Papoul,11361,"
chapelle et chapellenie dans l’église de Saint-Papoul.",
DT11-09169,"Notre-Dame-de-Bon-Confort,",ancienne chapelle,église de Villegailhenc,11425,"
ancienne chapelle dans l’église de Villegailhenc, 1502 
(Mah., II, 90).",
DT11-09154,"Notre-Dame,",ancien décimaire,église de Villesiscle,11438,"
ancien décimaire de l’église de Villesiscle.",
DT11-09219,"Notre-Dame-de-Monsoleil,",ancien titre,église paroissiale d’Alzonne,11009,"
ancien titre de l’église paroissiale d’Alzonne.",
DT11-09163,"Notre-Dame-de-Bellestrade,",ancien titre,église paroissiale de Brousses,11052,"
ancien titre de l’église paroissiale de Brousses, 1680 
(arch. Aude, B 173).",
DT11-12363,"Saint-Étienne,",ancienne chapellenie,église paroissiale de Laurac,11196,"
ancienne chapellenie dans l’église paroissiale de Laurac.",
DT11-09202,"Notre-Dame-de-la-Romenguière,",chapelle,église paroissiale de Villepinte,11434,"
chapelle dans l’église paroissiale de Villepinte.",
DT11-09164,"Notre-Dame-de-Bethléem,",ancienne chapelle paroissiale,église Saint-Just de Narbonne,11262,"
ancienne chapelle paroissiale dans l’église Saint-Just de Narbonne, unie au chapitre de cette église en 1543.",
DT11-13556,"Sou (Le),",rivière,en amont de Durfort,non,"
rivière, prend sa source au hameau de Carcassès, commune de Laroque-de-Fa, arrose Termes et se jette dans l’Orbieu, en amont de Durfort.",
DT11-02265,"Canal d’Aude,",partie,en amont de Narbonne,non,"
partie de la Robine en amont de Narbonne.",
DT11-03526,"Coumauriole,",vallée,en amont de Saint-Martin-Lys,non,"
vallée de l’Aude, en amont de Saint-Martin-Lys.",
DT11-01163,"Birot,",usine,en aval du Pont-Neuf,non,"
usine sur la rive droite de l’Aude, en aval du Pont-Neuf, construite en 1838 ; aujourd’hui tannerie, commune de Carcassonne.",
DT11-04742,"Filou (Le),",moulin,en aval du Pont-Vieux,non,"
moulin sur l’Aude, aujourd’hui disparu, commune de Narbonne, en aval du Pont-Vieux.",
DT11-13039,"Saint-Salvaire,",ruines d’une ancienne église,en face de Castelpor,non,"
ruines d’une ancienne église sur la rive gauche du Rébenty, en face de Castelpor, commune de Joucou.",
DT11-12180,"Sainte-Colombe,",ruisseau,en face le Moulin-Neuf,non,"
église ruinée, commune de Conques ; ruisseau, affluent de l’Orbiel, en face le Moulin-Neuf.",
DT11-06727,"« Laretus »,",localité disparue,environs d’Alaigne et de Belvèze,11004/11034,"
localité disparue, aux environs d’Alaigne et de Belvèze.",
DT11-01380,"Bordes (Les),",localité disparue,environs d’Orsans et de Saint-Gaudéric,11268/11343,"
localité disparue, aux environs d’Orsans et de Saint-Gaudéric.",
DT11-12605,"Saint-Jean-de-Paracol,",localité disparue,environs d’Ouveillan,11269,"
localité disparue aux environs d’Ouveillan.",
DT11-14293,"Vajal,",ancienne abbaye,environs de Belpech,11033,"
ancienne abbaye fondée en 1125 par le moine Aiméric ; elle était située aux environs de Belpech, au confluent de la Vixiège et de l’Hers, en un lieu appelé Garnac. Or le cimetière de Garnac était limité par le confluent de la Vixiège, de l’Estaut et de l’Hers, et le chemin de Molandier ; il était par conséquent sur la rive droite de l’Hers.",
DT11-00248,"Arbre-Antic (L’),",localité disparue,environs de Belvianes,11035,"
localité disparue aux environs de Belvianes ; ce fief acheté en 900 par l’abbé de Joucou fut donné en 907 à la maison de Saint-Georges.",
DT11-14659,"Villaudrade,",localité disparue,environs de Bizanet,11040,"
localité disparue aux environs de Bizanet.",
DT11-11383,"« Richus »,","localité disparue, ancien fief",environs de Brézilhac et de Villeneuve-les-Montréal,11051/11432,"
localité disparue, ancien fief de l’abbaye de Montolieu, aux environs de Brézilhac et de Villeneuve-les-Montréal.",
DT11-04119,"« Embrons »,",villa disparue,environs de Caunes et de Laure,11081/11198,"
villa disparue, aux environs de Caunes et de Laure, et qu’il ne faut point confondre avec sa voisine Abrens.",
DT11-00803,"Batipalmes,",localité disparue,environs de Coursan,11106,"
localité disparue aux environs de Coursan, non loin des Salins.",
DT11-13245,"Salvetat (La),",localité disparue,environs de Davejean,11117,"
localité disparue aux environs de Davejean, dépendait de la commanderie d’Albas.",
DT11-02467,"Carbonils (Les),",localité disparue,environs de Fontjoncouse,11152,"
localité disparue, aux environs de Fontjoncouse, sect. C.",
DT11-13786,"Tersan,",localité disparue,environs de Fresquet,non,"
localité disparue, commune de Moussan, aux environs de Fresquet.",
DT11-03241,"« Colonicae »,","ancien fief ecclésiastique, localité disparue",environs de la gare de Marcorignan,non,"
ancien fief ecclésiastique, localité disparue, aux environs de la gare de Marcorignan, commune de Narbonne.",
DT11-13764,"Terre-Clapade,",localité disparue,environs de la Nougarède,non,"
localité disparue, aux environs de la Nougarède, commune de Villasavary ; ancien décimaire sous le vocable de saint Pierre.",
DT11-00178,"Alsou,",localité disparue,environs de Lagrasse,11185,"
localité disparue, aux environs de Lagrasse.",
DT11-03735,"« Crispianus »,",localité disparue,environs de Lespinassière,11200,"
localité disparue aux environs de Lespinassière.",
DT11-03504,"Cougain,",localité disparue,environs de Limoux,11206,"
localité disparue aux environs de Limoux.",
DT11-02461,"Carazet,",localité disparue,environs de Marsa,11219,"
localité disparue, aux environs de Marsa.",
DT11-04245,"Espanget-en-Sault,",localité disparue,environs de Marsa,11219,"
localité disparue aux environs de Marsa.",
DT11-11908,"Sabine,",lieu dit,environs de Montveyre,non,"
lieu dit aux environs de Montveyre, commune de Fontjoncouse.",
DT11-00230,"« Antonia »,",localité disparue,environs de Narbonne,11262,"
localité disparue, aux environs de Narbonne.",
DT11-03736,"« Cristianicus »,",localité disparue,environs de Narbonne,11262,"
localité disparue aux environs de Narbonne.",
DT11-03864,"Crotas,",localité disparue,environs de Narbonne,11262,"
localité disparue aux environs de Narbonne.",
DT11-06967,"« Leonianus »,",localité disparue,environs de Narbonne,11262,"
localité disparue aux environs de Narbonne.",
DT11-13383,"« Scurifata »,",localité disparue,environs de Peyriac-de-Mer,11285,"
localité disparue aux environs de Peyriac-de-Mer ; elle est mentionnée parmi les dépendances de l’abbaye de Saint-Laurent (Narbonne).",
DT11-05288,"Galamiès,",ferme disparue,environs de Pierrou et de Piquestelle,non,"
ferme disparue aux environs de Pierrou et de Piquestelle, commune de Saint-Polycarpe.",
DT11-04768,"Fleix (Le),",localité disparue,environs de Plaigne,11290,"
localité disparue aux environs de Plaigne et sur les bords de la Vixiège.",
DT11-02404,"Capelles,",ancien étang,environs de Port-de-Galère et de Vignemijea,non,"
ancien étang, commune de Narbonne, aux environs de Port-de-Galère et de Vignemijea ; ancien fief du prieuré de N.-D. de la Mourguiè.",
DT11-04046,"Doutre,",localité disparue,environs de Quillan,11304,"
localité disparue, aux environs de Quillan.",
DT11-09109,"Nonosse,",localité disparue,environs de Saint-Hilaire,11344,"
localité disparue aux environs de Saint-Hilaire ; ancien prieuré sous le vocable de saint Saturnin, uni à l’abbaye de Saint-Hilaire.",
DT11-11397,"Rieugrand,",localité,environs de Saint-Polycarpe,11364,"
localité aux environs de Saint-Polycarpe, qui a pu précéder le village actuel, mais que nous ne distinguons pas topographiquement de celui-ci.",
DT11-13244,"Salvela,",localité disparue,environs de Saint-Polycarpe,11364,"
localité disparue aux environs de Saint-Polycarpe.",
DT11-13236,"Salvadous (Les),",ferme disparue,environs des Brugues,non,"
ferme disparue aux environs des Brugues, commune de Bram.",
DT11-09218,"Notre-Dame-de-Monconfort,",chapelle ruinée,environs du Logis de la Pomme,non,"
chapelle ruinée aux environs du Logis de la Pomme, commune de Conques.",
DT11-14562,"« Vigesimus »,",station,Espagne,non,"
station indiquée dans l’Itinéraire d’Antonin, sur la voie romaine de Narbonne en Espagne.",
DT11-00857,"Beaumont,",ruines d’une ancien tour,Esturgeat,non,"
ruines d’une ancien tour, sur le chemin de Chalabre à Esturgeat, entre les communes de Chalabre et de Montjardin.",
DT11-04338,"Étang-Mage (L’),",,étang de Bages et de Narbonne,non,"nom qu’on donnait primitivement à l’étang de Bages et de Narbonne, pour le distinguer des petits étangs voisins : Étang-Salin, étang de Campignol, de Contesse, de Sesquière, etc.",
DT11-04338,"Étang-Mage (L’),",,étang de Campignol,non,"nom qu’on donnait primitivement à l’étang de Bages et de Narbonne, pour le distinguer des petits étangs voisins : Étang-Salin, étang de Campignol, de Contesse, de Sesquière, etc.",
DT11-02221,"Campignol (Étang),",partie,étang de Gruissan,11170,"
partie de l’étang de Gruissan.",
DT11-02268,"Canal de Niquet,",restes d’un canal,étang de Lapalme,11188,"
restes d’un canal que cet ingénieur avait commencé de construire à travers l’étang de Lapalme, de la Nouvelle à Perpignan.",
DT11-00100,"Aiguille-de-Crevasse (L’),",ruisseau d’écoulement,étang de Marseillette,non,"
ruisseau d’écoulement de l’étang de Marseillette, commune de Blomac.",
DT11-00102,"Aiguille-de-Nirmes (L’),",ruisseau d’écoulement,étang de Marseillette,non,"
ruisseau d’écoulement de l’étang de Marseillette, commune de Blomac.",
DT11-00103,"Aiguille-de-Saint-Martin (L’),",ruisseau d’écoulement,étang de Marseillette,non,"
ruisseau d’écoulement de l’étang de Marseillette, commune de Blomac.",
DT11-11305,"Resclause (La),",rivière,étang de Marseillette,non,"
rivière affluent de l’Aude, traverse l’étang de Marseillette et les communes de Laure, Saint-Frichoux et Puichéric.",
DT11-12735,"Saint-Martin,",rigole de dessèchement,étang de Marseillette,non,"
rigole de dessèchement de l’étang de Marseillette ; aqueduc sur le canal du Midi, commune de Blomac.",
DT11-03399,"Conilhac,",ancien étang,étang de Narbonne et de Gruissan,11262/11170,"
ancien étang, partie de l’étang de Narbonne et de Gruissan.",
DT11-02451,"Caragol (Le),",embouchure primitive,étang de Sigean,11379,"
embouchure primitive de la Robine de Narbonne dans l’étang de Sigean.",
DT11-04344,"Étang-Salin,",portion,étang de Sigean,11379,"
portion de l’étang de Sigean.",
DT11-09319,"Olivier (Étang de l’),",partie,étang de Sigean,11379,"
partie de l’étang de Sigean, embouchure de la Berre.",
DT11-10654,"Port-de-Sigean,",baie circulaire,étang de Sigean,11379,"
baie circulaire dans l’étang de Sigean, où l’on distingue des ruines de murs de quai de construction romaine (Cf. Lenthéric, Les villes mortes du golfe de Lyon, p. 217).",
DT11-12260,"Sainte-Lucie,",presqu’île,étang de Sigean,11379,"
presqu’île, autrefois île du groupe appelé Piplas dans l’étang de Sigean, reliée à la terre ferme par une levée qui resserre les eaux de la Robine jusqu’à son embouchure dans l’étang.",
DT11-04338,"Étang-Mage (L’),",,Étang-Salin,non,"nom qu’on donnait primitivement à l’étang de Bages et de Narbonne, pour le distinguer des petits étangs voisins : Étang-Salin, étang de Campignol, de Contesse, de Sesquière, etc.",
DT11-09697,"Pech-Bisbal,","lieu dit, anciennes salines",Étang-Salin,non,"
lieu dit, anciennes salines à l’Étang-Salin, commune de Narbonne.",
DT11-06521,"« Lacus Rubresus »,",vaste étang,"étangs de Bages, de Sigean et de Gruissan",non,"
vaste étang, qui servait d’embouchure aux deux bras de l’Aude ; il répondait au système des étangs de Bages, de Sigean et de Gruissan, au sud de la Clape ; à celui des étangs de Capestang, de Vendres et de Fleury, au nord.",
DT11-06521,"« Lacus Rubresus »,",vaste étang,"étangs de Capestang, de Vendres et de Fleury",non,"
vaste étang, qui servait d’embouchure aux deux bras de l’Aude ; il répondait au système des étangs de Bages, de Sigean et de Gruissan, au sud de la Clape ; à celui des étangs de Capestang, de Vendres et de Fleury, au nord.",
DT11-13128,"Saissac,",ancienne baronnie,États de Languedoc,non,"
chef-lieu de canton, arrondissement de Carcassonne ; église paroissiale dédiée à saint Michel ; sénéchaussée de Carcassonne ; ancienne baronnie qui donnait droit d’entrée aux États de Languedoc ; en 1670, ce privilège fut attaché à la terre de Pezens (Voisins) érigée en baronnie.",
DT11-10105,"Peyremale (Col de),",col,Fajac,non,"
col (442m-510m), commune de Fajac-en-Val, donnant passage au chemin de Fajac à Arquettes et aux anciens chemins de Limoux à Lagrasse et de Limoux à Montlaur (cad.).",
DT11-09225,"Notre-Dame-de-Pitié,",chapelle rurale,Fargue,non,"
chapelle rurale entre la Viale et la Fargue, commune de Castans.",
DT11-10562,"Porte-de-Laurac (La),","lieu dit, ancienne porte",faubourg de Belvèze,non,"
lieu dit, ancienne porte, commune de Narbonne ; cette porte mettait en communication le faubourg de Belvèze avec la Cité, entre la Porte de Coiran et la Porte-Roy.",
DT11-05992,"Holières (Les),",partie,faubourg de Coiran,non,"
partie du faubourg de Coiran, commune de Narbonne.",
DT11-10580,"Porte-d’Olières (La),",ancienne porte,faubourg de Coiran,non,"
lieu dit, commune de Narbonne ; ancienne porte mettant le faubourg de Coiran en communication avec la Cité.",
DT11-07411,"Malgairaud,","ruisseau, lieu dit",faubourg de la Tourette,11391,"
ruisseau, lieu dit, au faubourg de la Tourette.",
DT11-06074,"Horte-Mage (L’),",ancien fief,faubourg de Lagrasse,11185,"
ancien fief de l’abbaye de Lagrasse, au faubourg de Lagrasse.",
DT11-07329,"Makao,",ancien domaine,faubourg de Laraignon,non,"
ancien domaine, englobé aujourd’hui dans le faubourg de Laraignon, commune de Carcassonne.",
DT11-09511,"Parrégal (Le),",lieu dit,faubourg de Magrie,11211,"
lieu dit, au faubourg de Magrie.",
DT11-09882,"« Peirota »,",ancien fief,faubourg de Saint-Vincent,non,"
ancien fief des Juifs, au faubourg de Saint-Vincent, à la Cité, commune de Carcassonne.",
DT11-10644,"Porte-Toulzane (La),","lieu dit, ancienne porte",faubourg de Saint-Vincent,non,"
lieu dit, ancienne porte, à l’ancien faubourg de Saint-Vincent (Cité), commune de Carcassonne.",
DT11-07858,"Mercadal (Le),",lieu dit,faubourg de Salégie,non,"
lieu dit, au faubourg de Salégie, commune de Laurac.",
DT11-10566,"Porte-de-Pélage (La),",lieu dit,faubourg de Villeneuve,non,"
lieu dit, au faubourg de Villeneuve, commune de Narbonne.",
DT11-12367,"Saint-Étienne,",ancienne église paroissiale,faubourg de Villeneuve,non,"
ancienne église paroissiale du faubourg de Villeneuve, commune de Narbonne.",
DT11-12760,"Saint-Martin,",anc. église et cimetière,faubourg de Villeneuve,non,"
anc. église et cimetière, hors du faubourg de Villeneuve, commune de Narbonne.",
DT11-12995,"Saint-Quentin,",ancienne église,faubourg de Villeneuve,non,"
ancienne église au faubourg de Villeneuve, commune de Narbonne.",
DT11-12206,"Sainte-Croix,",ancienne église du cimetière,faubourg du Mas-Cabardès,11222,"
ancienne église du cimetière au faubourg du Mas-Cabardès, 1641 (arch. Aude, C, rech. dioc. Carc.).",
DT11-13744,"Tenda (Le),",ancienne propriété des pareurs de draps,faubourg Laraignon,non,"
ancienne propriété des pareurs de draps, au faubourg Laraignon, commune de Carcassonne ; ancien tour ; ancien cimetière pour les pestiférés, avec une chapelle dédiée à saint Roch.",
DT11-01241,"Bon-Jésus,",chapelle,faubourg Saint-Michel,non,"
chapelle au faubourg Saint-Michel, commune de Conques, 1641 (arch. Aude, C, rech. dioc. Carc.).",
DT11-10572,"Porte-de-Razès (La),",lieu dit,faubourg Saint-Michel,non,"
lieu dit, au faubourg Saint-Michel de la Cité ; ancienne porte à l’angle oriental de la tour Saint-Nazaire, à la Cité, commune de Carcassonne.",
DT11-08866,"Moulin-Pastellier (Le),",ancien moulin,faubourg Saint-Pierre,non,"
ancien moulin au faubourg Saint-Pierre, commune de Villasavary.",
DT11-10545,"Porte-d’Aude (La),",porte,faubourg Saint-Vincent,non,"
porte de l’ancien faubourg Saint-Vincent, à la Cité, commune de Carcassonne.",
DT11-10574,"Porte-des-Amandiers (La),",lieu dit,faubourg Saint-Vincent,non,"
lieu dit, au faubourg Saint-Vincent, terroir de Cité ; ancienne porte à l’angle occidental de la Tour Notre-Dame, à la Cité, commune de Carcassonne.",
DT11-10587,"Porte-du-Salin (La),",ancienne porte,faubourg Saint-Vincent,non,"
lieu dit ; ancienne porte du faubourg Saint-Vincent (Cité), donnant accès sur l’avenue de Narbonne, commune de Carcassonne.",
DT11-10570,"Porte-de-Pressan (La),",ancienne porte,"faubourgs Saint-Michel et Saint-Vincent, de la Cité",non,"
lieu dit, commune de Carcassonne ; ancienne porte faisant division des faubourgs Saint-Michel et Saint-Vincent, de la Cité.",
DT11-03640,"Courtals (Les),",petite chaîne de montagnes,Fauruc,non,"
petite chaîne de montagnes entre Brenac et Fauruc, commune de Brenac ; ancien fief royal.",
DT11-04611,"Félines-en-Sault,",localité,Feilhuns-en-Fenouillèdes,66076,"
localité mentionnée une seule fois et que l’on ne saurait identifier, car il n’exista jamais de localité de ce nom dans le pays de Sault ; il s’agit probablement de Feilhuns-en-Fenouillèdes, aujourd’hui Pyrénées-Orientales.",
DT11-12238,"Sainte-Férigoule,",col,Félines-d’Hautpoul,34097,"
col, entre Trausse et Félines-d’Hautpoul (Hérault).",
DT11-08745,"d’Udalguier (Le),",moulin disparu,Flacian,non,"
moulin disparu, rive gauche de l’Aude, entre le moulin des Religieuses et celui de Flacian, commune de Limoux.",
DT11-06195,"Jardin-de-Monseigneur (Le),",ancienne propriété,Fleix,non,"
ancienne propriété de l’archevêque de Narbonne, au Fleix, commune de Narbonne.",
DT11-09976,"Perrucel,",col,Foix,non,"
col, commune de Belcaire, entre le pic des Sarrazis au midi, la Fréchenouse et le bois de Monbézia au nord ; il donne passage au chemin du pays de Sault à Foix.",
DT11-05208,"Frau,",ruisseau,Fontaine de Majou,non,"
ruisseau, sert de limite aux communes de Joucou et de Marsa, prend sa source à la Fontaine de Majou et se jette dans le Rébenty.",
DT11-05966,"Hers (L’),",rivière,fontaine du Drazet,non,"
rivière, affluent de l’Ariège, prend sa source dans l’Ariège, à la fontaine du Drazet 
(Congrès Soc. sav., 1904, Journ. Offic., p. 2191), sert longtemps de limite aux départements de l’Aude et de l’Ariège, entre dans l’Aude à Sainte-Colombe-sur-l'Hers, reçoit le Blau, le Chalabreil, l’Ambrole, sort de l’Aude pour y rentrer près de Belpech, où il reçoit la Vixiège, et rentre de nouveau dans l’Ariège.",
DT11-08472,"Moulin (Le),",ancien moulin foulon,fontaine la Doux,non,"
ancien moulin foulon, à la fontaine la Doux, commune d’Alet.",
DT11-13224,"Sals (La),",rivière,Fontaine Salée,non,"
rivière, affluent de l’Aude, prend sa source à la Fontaine Salée, commune de Sougraigne, arrose les communes de Rennes-les-Bains, Cassaigne, Coustaussa et Couiza.",
DT11-04923,"Font-de-l’Abeille,",lieu dit,Fontfroide,non,"
lieu dit entre Jonquieres et Fontfroide, commune de Narbonne.",
DT11-07313,"Maison-Forestière (La),",écart,forêt d’Argentdouble,non,"
écart dans la forêt d’Argentdouble, commune de Caunes.",
DT11-04440,"Fabarès,",canton,forêt d’En Malo,non,"
canton de la forêt d’En Malo, commune d’Axat.",
DT11-05273,"Gailles,",canton,forêt domaniale d’Aspre,non,"
canton de la forêt domaniale d’Aspre, commune de Mazuby.",
DT11-06572,"Lagasté,",triage,forêt domaniale d’Ayguesbonnes,non,"
triage de la forêt domaniale d’Ayguesbonnes, communes de Montfort et de Gincla.",
DT11-11306,"Resclause (La),",pâturages,forêt du Gravas,non,"
pâturages, au nord de la forêt du Gravas, commune du Bousquet.",
DT11-14524,"Vieille-Église (La),",ruines de l’ancienne église,Fournaque,non,"
ruines de l’ancienne église, commune de Leucate, confrontant de l’ouest le chemin de la Fournaque et les ruines du château, 1695 
(comp., pp. 70 et 88).",
DT11-13990,"Trapel (Le),",rivière,Fraissé,11156,"
rivière (16 kilomètres), affluent de la rive gauche de l’Aude, arrose Fraissé, Aragon, Villegailhenc et Villemoustaussou ; reçoit à droite : le Fonsigny et la Valette ; à gauche : le ruisseau de Capcervy, grossi du Vallouvière.",
DT11-09976,"Perrucel,",col,Fréchenouse,non,"
col, commune de Belcaire, entre le pic des Sarrazis au midi, la Fréchenouse et le bois de Monbézia au nord ; il donne passage au chemin du pays de Sault à Foix.",
DT11-03427,"Contrast (Le),",ancien fief,Fresquel,non,"
ancien fief, compris pour la majeure partie entre l’Aude et le Fresquel, commune de Carcassonne.",
DT11-05044,"Forge-de-Lacombe,",usine ruinée,Galaube,non,"
usine ruinée à la Galaube, sur l’Alzau, commune de Lacombe.",
DT11-07428,"Malpas (Le),",lieu dit,Galinier,non,"
lieu dit, entre le chemin du Razès et le chemin de Villalbe à Galinier, commune de Carcassonne.",
DT11-03768,"Croix-de-la-Garde (La),",oratoire,Garde,non,"
oratoire, commune de Lespinassière, sur le chemin de la Garde à Sahuc, 1776 
(arch. Aude, E 20, pl. 9).",
DT11-09299,"Océan (Écluse de l’),",écluse,Garonne,non,"
écluse, sur le Canal latéral de la Garonne ; elle servait à dériver les eaux du bassin de Naurouze vers l’Océan ; elle est remplacée aujourd’hui par l’écluse de Montferrand.",
DT11-09138,"Notre-Dame,",ancien décimaire,Garrigue,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-11816,"Rouquignole (La),",lieu dit,Gasparets,11048,"
lieu dit, entre Gasparets, Bizanet et Saint-Andre-de-Roquelongue.",
DT11-12736,"Saint-Martin,",ancienne église,Gasparets,non,"
chapelle rurale, commune de Boutenac ; ancienne église de Gasparets.",
DT11-05628,"Septimanie,",,Gaule Narbonnaise,non,"nom que l’on donne à la Gaule Narbonnaise, parce que, durant 250 ans environ, elle fut sous la domination des Visigoths.",
DT11-14264,"« Umbranici »,",ancien peuple,Gaule Narbonnaise,non,"
ancien peuple de la Gaule Narbonnaise, qui occupait la pointe N.-E. du département de l’Aude.",
DT11-09534,"Pas-de-Lagaste (Le),",petit défilé,Gaure,non,"
petit défilé entre la rivière d’Aude et le chemin de Gaure, commune de Pomas, 1756 
(arch. Aude, B 539).",
DT11-02630,"Castélas (Le),",ruines d’un ancien château,Gesse,non,"
ruines d’un ancien château, entre Gesse et Caudas, commune de Bessède-de-Sault.",
DT11-09466,"Paradis,",lieu dit et fontaine,Grand-Cap,non,"
lieu dit et fontaine, entre le Grand-Cap et le Petit-Cap, commune de Leucate.",
DT11-08161,"Montagne-Noire,",partie,grande chaîne des Cévennes,non,"
partie de la grande chaîne des Cévennes, qui sépare, au Nord, le département de l’Aude de ceux de la Haute-Garonne, du Tarn et de l’Hérault.",
DT11-03500,"Couffoulens,",chef-lieu,Grèzes,non,"
commune, canton de Carcassonne-Est ; église paroissiale dédiée à saint Clément ; chef-lieu d’une baronnie qui comprenait Roullens, Grèzes, Maquens et Villalbe-Haute ; sénéchaussée de Carcassonne.",
DT11-12737,"Saint-Martin,",chapelle en ruines,hameau d’Escandeilles,non,"
chapelle en ruines au hameau d’Escandeilles, commune de Castans ; son décimaire s’étendait aussi dans les communes de Cabrespine, de Citou et de Lespinassière.",
DT11-03237,"Colombiès,",ancien fief,hameau d’Herminis,non,"
ancien fief, partie du hameau d’Herminis, commune de Carcassonne.",
DT11-06715,"Lapujade,",partie,hameau d’Herminis,non,"
partie du hameau d’Herminis, commune de Carcassonne ; ancien fief des Maurel de la Pujade, seigneurs de Serres.",
DT11-07585,"Marrel,",ancien fief,hameau d’Herminis,non,"
ancien fief, partie du hameau d’Herminis, commune de Carcassonne.",
